	Precision 	  Recall  	 F 
a       	   90.36% 	  91.46% 	  90.91%
ac      	  100.00% 	  83.33% 	  90.91%
ano     	   81.25% 	  76.47% 	  78.79%
dl      	   93.33% 	 100.00% 	  96.55%
if1     	  100.00% 	  85.71% 	  92.31%
if2     	  100.00% 	  60.00% 	  75.00%
if3     	   89.58% 	  79.63% 	  84.31%
if4     	   80.43% 	  88.10% 	  84.09%
l       	   87.21% 	  86.21% 	  86.71%
qt      	   93.86% 	  93.62% 	  93.74%
sp      	  100.00% 	  95.00% 	  97.44%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  64.29% 	  78.26%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   96.36% 	  96.75% 	  96.55%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.04% 	  92.01% 	  92.52% 
