	Precision 	  Recall  	 F 
a       	   75.26% 	  79.35% 	  77.25%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   66.67% 	  40.00% 	  50.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.30% 	  78.79% 	  86.67%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   93.10% 	  72.97% 	  81.82%
if4     	   74.29% 	  68.42% 	  71.23%
l       	   92.68% 	  97.44% 	  95.00%
qt      	   89.55% 	  89.14% 	  89.34%
sp      	   92.86% 	  81.25% 	  86.67%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   92.75% 	  85.33% 	  88.89%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   88.64% 	  85.10% 	  86.83% 
