	Precision 	  Recall  	 F 
a       	   89.60% 	  90.65% 	  90.12%
ac      	   97.62% 	  97.62% 	  97.62%
dl      	   83.33% 	  83.33% 	  83.33%
if1     	   72.73% 	  53.33% 	  61.54%
if3     	   83.08% 	  69.68% 	  75.79%
if4     	   90.70% 	  67.24% 	  77.23%
l       	   94.30% 	  93.07% 	  93.68%
qt      	   99.50% 	  99.50% 	  99.50%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   66.67% 	  61.54% 	  64.00%
tp      	  100.00% 	  76.92% 	  86.96%
tv      	   99.70% 	  99.29% 	  99.49%
v       	   99.20% 	  96.12% 	  97.64%
Overall 	   95.58% 	  94.18% 	  94.88% 
