	Precision 	  Recall  	 F 
a       	   90.89% 	  91.18% 	  91.03%
ac      	   95.24% 	  95.24% 	  95.24%
dl      	   83.33% 	  83.33% 	  83.33%
if1     	   76.92% 	  66.67% 	  71.43%
if3     	   83.72% 	  69.68% 	  76.06%
if4     	   86.96% 	  68.97% 	  76.92%
l       	   94.35% 	  93.94% 	  94.14%
qt      	   99.80% 	  99.80% 	  99.80%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   66.67% 	  61.54% 	  64.00%
tp      	  100.00% 	  76.92% 	  86.96%
tv      	   99.50% 	  99.50% 	  99.50%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.96% 	  94.70% 	  95.33% 
