	Precision 	  Recall  	 F 
a       	   92.70% 	  90.66% 	  91.67%
ac      	   88.89% 	  88.89% 	  88.89%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   60.00% 	  75.00% 	  66.67%
if3     	   78.57% 	  61.11% 	  68.75%
if4     	   83.33% 	  55.56% 	  66.67%
l       	   83.33% 	  90.91% 	  86.96%
qt      	  100.00% 	 100.00% 	 100.00%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	    0.00% 	   0.00% 	   0.00%
tv      	   99.50% 	  99.50% 	  99.50%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.37% 	  93.41% 	  94.38% 
