trong	E	B-l	B-l
khu	N	I-l	I-l
vực	N	I-l	I-l
đông	N	I-l	I-l
dân	N	I-l	I-l
cư	N	I-l	I-l
gồm	V	B-qt	B-qt
những	L	I-qt	I-qt
đường	N	I-qt	I-qt
nào	P	I-qt	I-qt

khái	N	O	O
niệm	N	O	O
làn	N	B-ano	B-ano
đường	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

phương	N	B-ano	B-ano
tiện	N	I-ano	I-ano
giao	N	I-ano	I-ano
thông	N	I-ano	I-ano
đường	N	I-ano	I-ano
bộ	N	I-ano	I-ano
gồm	V	B-qt	B-qt
những	L	I-qt	I-qt
loại	N	I-qt	I-qt
nào	P	I-qt	I-qt

người	N	B-ano	B-tp
tham	V	I-ano	I-tp
gia	V	I-ano	I-tp
giao	N	I-ano	I-tp
thông	N	I-ano	I-tp
đường	N	I-ano	I-tp
bộ	N	I-ano	I-tp
gồm	V	B-qt	O
những	L	I-qt	B-qt
đối	N	I-qt	I-qt
tượng	N	I-qt	I-qt
nào	P	I-qt	I-qt

khái	N	O	O
niệm	N	O	O
người	N	B-ano	B-ano
điều	V	I-ano	I-ano
khiển	V	I-ano	I-ano
giao	N	I-ano	I-ano
thông	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

khái	N	O	O
niệm	N	O	O
làn	N	B-ano	B-ano
đường	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

khái	N	O	O
niệm	N	O	O
khổ	A	B-ano	B-ano
giới	N	I-ano	I-ano
hạn	N	I-ano	I-ano
của	E	I-ano	I-ano
đường	N	I-ano	I-ano
bộ	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

khái	N	O	O
niệm	N	O	O
công	N	B-ano	B-ano
trình	N	I-ano	I-ano
đường	N	I-ano	I-ano
bộ	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

khái	N	O	O
niệm	N	O	O
đường	N	B-ano	B-ano
phố	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt
là	V	O	O
đúng	A	O	O

hãy	R	B-qt	B-qt
nêu	V	I-qt	I-qt
yêu	V	B-ano	B-ano
cầu	V	I-ano	I-ano
về	E	I-ano	I-ano
an	N	I-ano	I-ano
toàn	N	I-ano	I-ano
kỹ	N	I-ano	I-ano
thuật	N	I-ano	I-ano
đối	E	I-ano	I-ano
với	E	I-ano	I-ano
bánh	N	I-ano	I-ano
xe	N	I-ano	I-ano
lắp	V	I-ano	I-ano
cho	E	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv

âm	N	B-ano	B-ano
lượng	N	I-ano	I-ano
của	E	I-ano	I-ano
còi	N	I-ano	I-ano
điện	N	I-ano	I-ano
lắp	V	O	O
cho	E	O	O
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
(	N	O	O
đo	V	O	O
ở	E	O	O
độ	N	O	O
cao	A	O	O
1,2	M	O	O
m	Nu	O	O
với	E	O	O
khoảng	N	O	O
cách	N	O	O
2	M	O	O
m	Nu	O	O
tính	V	O	O
từ	V	O	O
đầu	N	O	O
xe	N	O	O
)	M	O	O
là	V	B-qt	B-qt
bao	P	I-qt	I-qt
nhiêu	P	I-qt	I-qt

vạch	N	B-ano	B-ano
kẻ	V	I-ano	I-ano
đường	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
thế	P	I-qt	I-qt
nào	P	I-qt	I-qt
là	V	O	O
đúng	A	O	O

hãy	R	B-qt	B-qt
nêu	V	I-qt	I-qt
