	Precision 	  Recall  	 F 
a       	   88.04% 	  88.04% 	  88.04%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   92.31% 	  75.00% 	  82.76%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   94.44% 	  89.47% 	  91.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	  100.00% 	  86.67% 	  92.86%
if4     	   93.33% 	  77.78% 	  84.85%
l       	   88.37% 	  92.68% 	  90.48%
qt      	   92.38% 	  91.96% 	  92.17%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  25.00% 	  40.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   94.94% 	  89.29% 	  92.02%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.37% 	  90.04% 	  91.68% 
