	Precision 	  Recall  	 F 
a       	   82.20% 	  84.58% 	  83.37%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   87.04% 	  60.26% 	  71.21%
dl      	   98.57% 	 100.00% 	  99.28%
if1     	   95.91% 	  88.65% 	  92.13%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   92.52% 	  79.53% 	  85.53%
if4     	   85.44% 	  75.84% 	  80.36%
l       	   90.00% 	  91.59% 	  90.79%
qt      	   92.53% 	  90.26% 	  91.38%
sp      	   96.52% 	  95.69% 	  96.10%
ti      	   98.89% 	  95.70% 	  97.27%
tl      	  100.00% 	  57.89% 	  73.33%
tp      	   66.67% 	  44.44% 	  53.33%
tv      	   92.01% 	  96.94% 	  94.41%
v       	   97.01% 	  98.78% 	  97.89%
Overall 	   91.51% 	  89.16% 	  90.32% 
