	Precision 	  Recall  	 F 
a       	   87.18% 	  89.14% 	  88.15%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  96.00% 	  97.96%
if1     	   97.62% 	  80.39% 	  88.17%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   79.25% 	  62.69% 	  70.00%
if4     	   77.78% 	  63.64% 	  70.00%
l       	   94.17% 	  96.04% 	  95.10%
qt      	   94.53% 	  93.14% 	  93.83%
sp      	  100.00% 	  93.10% 	  96.43%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	   83.33% 	  83.33% 	  83.33%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   95.55% 	  98.24% 	  96.88%
v       	   96.77% 	  98.36% 	  97.56%
Overall 	   92.72% 	  90.45% 	  91.57% 
