	Precision 	  Recall  	 F 
a       	   84.56% 	  83.13% 	  83.84%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   86.67% 	  65.82% 	  74.82%
dl      	  100.00% 	  97.83% 	  98.90%
if1     	   97.02% 	  88.11% 	  92.35%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   91.49% 	  75.44% 	  82.69%
if4     	   83.87% 	  73.03% 	  78.08%
l       	   90.79% 	  91.59% 	  91.19%
qt      	   91.12% 	  89.71% 	  90.41%
sp      	   94.74% 	  93.10% 	  93.91%
ti      	  100.00% 	  98.92% 	  99.46%
tl      	  100.00% 	  47.37% 	  64.29%
tp      	   66.67% 	  22.22% 	  33.33%
tv      	   91.00% 	  90.31% 	  90.65%
v       	   97.56% 	  97.56% 	  97.56%
Overall 	   91.31% 	  87.48% 	  89.35% 
