	Precision 	  Recall  	 F 
a       	   87.50% 	  84.62% 	  86.03%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.59% 	  86.21% 	  89.29%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   96.67% 	  93.55% 	  95.08%
if4     	   72.73% 	  64.86% 	  68.57%
l       	   88.89% 	  86.96% 	  87.91%
qt      	   91.71% 	  90.87% 	  91.28%
sp      	  100.00% 	  90.00% 	  94.74%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  33.33% 	  50.00%
tv      	   95.18% 	  98.75% 	  96.93%
v       	   96.55% 	  93.33% 	  94.92%
Overall 	   91.42% 	  89.06% 	  90.22% 
