	Precision 	  Recall  	 F 
a       	   87.84% 	  88.19% 	  88.02%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   78.57% 	  64.71% 	  70.97%
dl      	   96.77% 	  96.77% 	  96.77%
if1     	   96.88% 	  86.11% 	  91.18%
if2     	   80.00% 	 100.00% 	  88.89%
if3     	   85.25% 	  86.67% 	  85.95%
if4     	   86.84% 	  63.46% 	  73.33%
l       	   79.79% 	  88.24% 	  83.80%
qt      	   94.95% 	  94.71% 	  94.83%
sp      	   80.77% 	 100.00% 	  89.36%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  85.71% 	  92.31%
tp      	   60.00% 	  75.00% 	  66.67%
tv      	   95.97% 	  97.54% 	  96.75%
v       	   98.39% 	  98.39% 	  98.39%
Overall 	   91.71% 	  91.64% 	  91.68% 
