	Precision 	  Recall  	 F 
a       	   90.52% 	  92.11% 	  91.30%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   73.33% 	  68.75% 	  70.97%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   93.62% 	  84.62% 	  88.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   92.59% 	  79.37% 	  85.47%
if4     	   86.84% 	  75.00% 	  80.49%
l       	   91.18% 	  84.55% 	  87.74%
qt      	   94.75% 	  94.50% 	  94.63%
sp      	  100.00% 	  96.97% 	  98.46%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  40.00% 	  57.14%
tp      	  100.00% 	  88.89% 	  94.12%
tv      	   98.39% 	  95.70% 	  97.03%
v       	   98.11% 	  98.11% 	  98.11%
Overall 	   94.31% 	  91.56% 	  92.92% 
