đi	O
ô	B-tv
tô	I-tv
chuyển	B-a
hướng	I-a
không	I-a
nhường	I-a
cho	I-a
người	I-a
đi	I-a
bộ	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

chuyển	B-a
hướng	I-a
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
người	I-a
đi	I-a
bộ	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
cho	I-a
người	I-a
khuyết	I-a
tật	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
người	I-a
khuyết	I-a
tật	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

đi	O
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
cho	I-a
xe	I-a
thô	I-a
sơ	I-a
khi	I-a
chuyển	I-a
hướng	I-a
phạt	B-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
xe	I-a
thô	I-a
sơ	I-a
phạt	B-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

dừng	B-a
ô	B-tv
tô	I-tv
không	B-a
có	I-a
tín	I-a
hiệu	I-a
báo	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

đỗ	B-a
xe	O
ô	B-tv
tô	I-tv
mà	O
không	B-a
có	I-a
báo	I-a
hiệu	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
đỗ	B-a
nhưng	I-a
không	I-a
báo	I-a
hiệu	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

đỗ	B-a
xe	O
ô	B-tv
tô	I-tv
chiếm	B-a
một	I-a
phần	I-a
đường	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
chiếm	B-a
một	I-a
phần	I-a
đường	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

đỗ	B-a
xe	O
ô	B-tv
tô	I-tv
mà	O
không	B-a
đặt	I-a
biển	I-a
báo	I-a
nguy	I-a
hiểm	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

không	B-if1
gắn	I-if1
biển	I-if1
báo	I-if1
hiệu	I-if1
ở	I-if1
phía	I-if1
trước	I-if1
xe	B-tv
kéo	I-tv
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

xe	B-tv
kéo	I-tv
không	B-if1
có	I-if1
báo	I-if1
hiệu	I-if1
phía	I-if1
trước	I-if1
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

không	B-a
gắn	I-a
biển	I-a
báo	I-a
hiệu	I-a
ở	I-a
phía	I-a
sau	I-a
xe	B-tv
bị	I-tv
kéo	I-tv
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

xe	B-tv
bị	I-tv
kéo	I-tv
mà	O
không	B-if1
có	I-if1
biển	I-if1
báo	I-if1
phía	I-if1
sau	I-if1
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

lái	O
xe	B-tv
rơ	I-tv
moóc	I-tv
không	B-if1
có	I-if1
biển	I-if1
báo	I-if1
hiệu	I-if1
theo	O
quy	O
định	O
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

xe	B-tv
rơ	I-tv
moóc	I-tv
không	B-if1
có	I-if1
biển	I-if1
báo	I-if1
theo	O
quy	O
định	O
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
không	B-a
giữ	I-a
khoảng	I-a
cách	I-a
an	I-a
toàn	I-a
với	I-a
xe	I-a
đi	I-a
trước	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
không	B-a
giữ	I-a
khoảng	I-a
cách	I-a
an	I-a
toàn	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

chạy	B-a
ô	B-tv
tô	I-tv
quá	B-a
gần	I-a
với	I-a
xe	I-a
đi	I-a
trước	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
đi	B-a
quá	I-a
gần	I-a
với	I-a
xe	I-a
đằng	I-a
trước	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
ở	B-l
ngã	I-l
ba	I-l
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
	B-l
ở	I-l
ngã	I-l
tư	I-l
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
ở	B-l
nơi	I-l
đường	I-l
bộ	I-l
giao	I-l
nhau	I-l
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
	B-l
ở	I-l
ngã	I-l
ba	I-l
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
	B-l
ở	I-l
ngã	I-l
bốn	I-l
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
	B-l
ở	I-l
nơi	I-l
giao	I-l
nhau	I-l
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
bấm	B-a
còi	I-a
không	I-a
trong	I-a
thời	I-a
gian	I-a
quy	I-a
định	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

bấm	B-a
còi	I-a
ô	B-tv
tô	I-tv
lúc	O
4h	B-if4
sáng	I-if4
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

đi	O
xe	O
ô	B-tv
tô	I-tv
không	B-if3
thắt	I-if3
dây	I-if3
an	I-if3
toàn	I-if3
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

không	B-if3
thắt	I-if3
dây	I-if3
an	I-if3
toàn	I-if3
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

người	O
ngồi	O
trên	O
xe	O
ô	B-tv
tô	I-tv
không	B-if3
thắt	I-if3
dây	I-if3
an	I-if3
toàn	I-if3
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

đi	O
ô	B-tv
tô	I-tv
chuyển	B-a
làn	I-a
không	I-a
đúng	I-a
nơi	I-a
cho	I-a
phép	I-a
bị	O
phạt	B-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
chuyển	B-a
làn	I-a
sai	I-a
chỗ	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

đi	O
ô	B-tv
tô	I-tv
chuyển	B-a
làn	I-a
không	I-a
có	I-a
tín	I-a
hiệu	I-a
thông	I-a
báo	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
chuyển	B-a
làn	I-a
không	I-a
báo	I-a
trước	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

lái	O
xe	O
ô	B-tv
tô	I-tv
chạy	B-a
chậm	I-a
hơn	I-a
các	I-a
xe	I-a
khác	I-a
cùng	I-a
chiều	I-a
mà	I-a
không	I-a
đi	I-a
về	I-a
bên	I-a
phải	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
chạy	B-a
chậm	I-a
giữa	I-a
đường	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
chở	B-a
quá	I-a
số	I-a
người	I-a
quy	I-a
định	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
chở	B-a
quá	I-a
nhiều	I-a
người	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

lái	O
ô	B-tv
tô	I-tv
chở	B-a
quá	I-a
số	I-a
người	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

đi	O
ô	B-tv
tô	I-tv
không	B-a
giảm	I-a
tốc	I-a
độ	I-a
khi	O
chạy	B-a
từ	I-a
ngõ	I-a
ra	I-a
thì	O
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

ô	B-tv
tô	I-tv
chạy	B-a
nhanh	I-a
từ	I-a
ngõ	I-a
ra	I-a
thì	O
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt

đi	O
ô	B-tv
tô	I-tv
không	B-a
giảm	I-a
tốc	I-a
độ	I-a
khi	I-a
chạy	I-a
từ	I-a
đường	I-a
nhánh	I-a
ra	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
chạy	B-a
nhanh	I-a
ra	I-a
đường	I-a
chính	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

lái	O
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
đường	I-a
cho	I-a
xe	I-a
xin	I-a
vượt	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
cho	I-a
xe	I-a
muốn	I-a
vượt	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

điều	O
khiển	O
ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
cho	I-a
xe	I-a
trên	I-a
đường	I-a
ưu	I-a
tiên	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
không	B-a
nhường	I-a
cho	I-a
xe	I-a
trên	I-a
đường	I-a
ưu	I-a
tiên	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
lắp	B-a
đặt	I-a
thiết	I-a
bị	I-a
phát	I-a
tín	I-a
hiệu	I-a
ưu	I-a
tiên	I-a
không	I-a
đúng	I-a
quy	I-a
định	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
lắp	B-a
còi	I-a
ưu	I-a
tiên	I-a
không	I-a
được	I-a
phép	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
sử	B-a
dụng	I-a
thiết	I-a
bị	I-a
phát	I-a
tín	I-a
hiệu	I-a
ưu	I-a
tiên	I-a
không	I-a
có	I-a
giấy	I-a
phép	I-a
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

không	B-if1
có	I-if1
giấy	I-if1
phép	I-if1
sử	I-if1
dụng	I-if1
thiết	I-if1
bị	I-if1
ưu	I-if1
tiên	I-if1
bị	B-qt
phạt	I-qt
bao	I-qt
nhiêu	I-qt
tiền	I-qt

ô	B-tv
tô	I-tv
sử	B-a
dụng	I-a
thiết	I-a
bị	I-a
phát	I-a
tín	I-a
hiệu	I-a
ưu	I-a
tiên	I-a
trái	I-a
phép	I-a
phạt	B-qt
bao	I-qt
